Year;Month;Week;FirstDayOfWeek;YearMonth;YearWeek;LicensesStandardAvailable;LicensesStandardUsed3M;LicensesEnterpriseAvailable;LicensesEnterpriseUsed3M;UniqueUser;UniqueUserActive;UniqueUserDE;UniqueUserEN;PageImpressions;PageImpressionsAvg;PageImpressionsMedian;MySites;MySitesNew;OneDriveUniqueUser;OneDrivePageImpressions;OneDriveSize;OneDriveSizeAvg;OneDriveSizeMedian;NewsfeedActivityCount;NewsfeedReplyCount;Teamrooms;TeamroomsUsed;TeamroomsSize;TeamroomsUniqueUser;TeamroomsPageImpressions;TeamroomsDocumentCountApprox;ProfilePhotos;ProfileResponsibilities;ProfileSkills;AccessDBs;AccessDBsSize;AppsUniqueUser;AppsPageImpressions;MySiteUniqueUser;MySitePageImpressions;NewsCount;NewsOverviewUniqueUser;NewsOverviewPageImpressions;NewsDetailsUniqueUser;NewsDetailsPageImpressions;NewsMediaUniqueUser;NewsMediaPageImpressions;Hashtags;ForumUniqueUser;ForumPageImpressions;ServicesCount;ServicesUniqueUser;ServicesPageImpressions;ServicesOverviewUniqueUser;ServicesOverviewPageImpressions;SearchQueriesEverywhere;SearchQueriesPeople;SearchQueriesDocuments;SearchCenterUniqueUser;SearchCenterPageImpressions;ProfilePageImpressions;HelpUniqueUser;HelpPageImpressions;HelpSearchQueries;Communities;CommunitiesUniqueUser;CommunitiesPageImpressions
2014;10;44;NULL;2014-10;2014-44;NULL;NULL;NULL;NULL;6375;2275;NULL;NULL;207172;32;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;688;NULL;4746;120390;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3061;22777;NULL;918;2205;1649;3669;574;1407;NULL;469;979;NULL;1200;6144;NULL;NULL;9830;NULL;NULL;NULL;NULL;4347;340;1371;NULL;NULL;0;0
2014;11;45;NULL;2014-11;2014-45;NULL;NULL;NULL;NULL;6445;2427;NULL;NULL;172537;26;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;622;NULL;4810;113167;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2760;16121;NULL;637;1298;953;1915;520;1218;NULL;250;467;NULL;1045;5335;NULL;NULL;8569;NULL;NULL;NULL;NULL;3983;176;1179;NULL;NULL;0;0
2014;11;46;NULL;2014-11;2014-46;NULL;NULL;NULL;NULL;6336;2320;NULL;NULL;155161;24;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;689;NULL;4818;108865;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2413;12953;NULL;493;992;391;644;454;1053;NULL;169;350;NULL;897;3981;NULL;NULL;7650;NULL;NULL;NULL;NULL;3358;147;618;NULL;NULL;0;0
2014;11;47;NULL;2014-11;2014-47;NULL;NULL;NULL;NULL;6177;2264;NULL;NULL;159554;25;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;806;NULL;4668;120890;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2297;13084;NULL;409;980;442;961;394;957;NULL;139;273;NULL;804;3060;NULL;NULL;6402;NULL;NULL;NULL;NULL;3686;126;665;NULL;NULL;0;0
2014;11;48;NULL;2014-11;2014-48;NULL;NULL;NULL;NULL;6365;2325;NULL;NULL;153148;24;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;958;NULL;4660;111878;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2490;13412;NULL;468;1064;818;1786;479;1130;NULL;145;319;NULL;821;2951;NULL;NULL;5734;NULL;NULL;NULL;NULL;3887;111;618;NULL;NULL;0;0
2014;12;49;NULL;2014-12;2014-49;NULL;NULL;NULL;NULL;6488;2432;NULL;NULL;150583;23;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;639;NULL;4910;118824;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2347;12864;NULL;496;1052;522;1073;516;1163;NULL;149;324;NULL;859;2712;NULL;NULL;5215;NULL;NULL;NULL;NULL;3654;99;453;NULL;NULL;0;0
2014;12;50;NULL;2014-12;2014-50;NULL;NULL;NULL;NULL;6152;2224;NULL;NULL;135920;22;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;629;NULL;4692;118895;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2118;10993;NULL;276;514;634;971;342;611;NULL;125;328;NULL;709;1470;NULL;NULL;2057;NULL;NULL;NULL;NULL;3014;85;311;NULL;NULL;0;0
2014;12;51;NULL;2014-12;2014-51;NULL;NULL;NULL;NULL;5972;2212;NULL;NULL;128961;21;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;604;NULL;4513;117064;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2178;11555;NULL;257;469;711;1048;287;525;NULL;123;379;NULL;605;1206;NULL;NULL;1864;NULL;NULL;NULL;NULL;3696;75;198;NULL;NULL;0;0
2014;12;52;NULL;2014-12;2014-52;NULL;NULL;NULL;NULL;2298;906;NULL;NULL;21116;9;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;318;NULL;1532;28886;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;580;1959;NULL;78;110;73;100;87;118;NULL;31;84;NULL;131;275;NULL;NULL;287;NULL;NULL;NULL;NULL;405;12;32;NULL;NULL;0;0
2014;12;53;NULL;2014-12;2014-53;NULL;NULL;NULL;NULL;1620;704;NULL;NULL;12643;7;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;214;NULL;1014;14096;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;393;1327;NULL;52;71;23;25;41;44;NULL;13;44;NULL;70;139;NULL;NULL;193;NULL;NULL;NULL;NULL;223;9;17;NULL;NULL;0;0
2015;1;1;NULL;2015-12;2015-01;NULL;NULL;NULL;NULL;1106;403;NULL;NULL;6779;6;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;144;NULL;662;9378;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;255;774;NULL;25;37;13;14;29;30;NULL;11;23;NULL;44;103;NULL;NULL;89;NULL;NULL;NULL;NULL;94;1;2;0;NULL;0;0
2015;1;2;NULL;2015-01;2015-02;NULL;NULL;NULL;NULL;6024;2272;NULL;NULL;135724;22;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;624;NULL;4780;126329;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2163;13737;NULL;282;513;250;354;321;525;NULL;170;377;NULL;709;1610;NULL;NULL;2659;NULL;NULL;NULL;NULL;4531;96;293;NULL;NULL;0;0
2015;1;3;NULL;2015-01;2015-03;NULL;NULL;NULL;NULL;6521;2542;NULL;NULL;145589;22;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;639;NULL;5026;131090;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2262;12322;NULL;299;521;1089;1701;321;592;NULL;142;360;NULL;657;1372;NULL;NULL;1913;NULL;NULL;NULL;NULL;3712;64;254;NULL;NULL;0;0
2015;1;4;NULL;2015-01;2015-04;NULL;NULL;NULL;NULL;6353;2398;NULL;NULL;134535;21;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;626;NULL;4971;121218;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2092;11049;NULL;245;483;593;763;300;567;NULL;106;243;NULL;550;1156;NULL;NULL;1946;NULL;NULL;NULL;NULL;3279;72;296;NULL;NULL;0;0
2015;1;5;NULL;2015-01;2015-05;NULL;NULL;NULL;NULL;6184;2351;NULL;NULL;132809;21;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;614;NULL;4926;123864;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2071;11375;NULL;249;498;350;490;297;572;NULL;122;283;NULL;577;1297;NULL;NULL;2134;NULL;NULL;NULL;NULL;3459;109;272;NULL;NULL;0;0
2015;2;6;NULL;2015-02;2015-06;NULL;NULL;NULL;NULL;6258;2269;NULL;NULL;138354;22;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;620;NULL;5002;125086;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2079;12045;NULL;229;425;405;542;326;586;NULL;112;228;NULL;520;1193;NULL;NULL;1826;NULL;NULL;NULL;NULL;3462;128;392;NULL;NULL;0;0
2015;2;7;NULL;2015-02;2015-07;NULL;NULL;NULL;NULL;6145;2207;NULL;NULL;142392;23;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;617;NULL;4986;131137;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2102;12104;NULL;243;489;373;611;331;577;NULL;109;278;NULL;544;1159;NULL;NULL;1840;NULL;NULL;NULL;NULL;3769;127;360;NULL;NULL;0;0
2015;2;8;NULL;2015-02;2015-08;NULL;NULL;NULL;NULL;5957;2235;NULL;NULL;132832;22;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;631;NULL;4788;123733;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2027;10696;NULL;244;458;355;578;313;581;NULL;112;306;NULL;531;1109;NULL;NULL;1902;NULL;NULL;NULL;NULL;3065;132;377;NULL;NULL;0;0
2015;2;9;NULL;2015-02;2015-09;NULL;NULL;NULL;NULL;6039;2219;NULL;NULL;137438;22;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;629;NULL;4876;131834;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2021;12242;NULL;230;440;263;360;317;555;NULL;109;235;NULL;501;1011;NULL;NULL;2131;NULL;NULL;NULL;NULL;4114;106;294;NULL;NULL;0;0
2015;3;10;NULL;2015-03;2015-10;NULL;NULL;NULL;NULL;6084;2345;NULL;NULL;139345;22;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;633;NULL;4792;126646;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2187;12548;NULL;254;502;578;859;327;596;NULL;117;270;NULL;477;1010;NULL;NULL;1812;NULL;NULL;NULL;NULL;3587;121;349;NULL;NULL;0;0
2015;3;11;NULL;2015-03;2015-11;NULL;NULL;NULL;NULL;5935;2201;NULL;NULL;133405;22;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;604;NULL;4804;126587;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2083;12003;NULL;234;500;393;606;305;556;NULL;100;567;NULL;483;1010;NULL;NULL;1705;NULL;NULL;NULL;NULL;3826;118;329;NULL;NULL;0;0
2015;3;12;NULL;2015-03;2015-12;NULL;NULL;NULL;NULL;6349;2420;NULL;NULL;133822;21;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634;NULL;4879;118724;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2113;11180;NULL;264;536;1167;1814;418;740;NULL;117;496;NULL;479;974;NULL;NULL;1758;NULL;NULL;NULL;NULL;3293;106;299;NULL;NULL;0;0
2015;3;13;NULL;2015-03;2015-13;NULL;NULL;NULL;NULL;6261;2298;NULL;NULL;133480;21;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;620;NULL;4775;120277;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2126;11775;NULL;270;606;1133;1714;470;801;NULL;124;309;NULL;459;935;NULL;NULL;1734;NULL;NULL;NULL;NULL;3607;102;264;NULL;NULL;0;0
2015;3;14;NULL;2015-03;2015-14;NULL;NULL;NULL;NULL;5798;2227;NULL;NULL;115843;19;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;588;NULL;4427;107186;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1988;9485;NULL;214;404;1193;1705;344;561;NULL;82;190;NULL;386;725;NULL;NULL;1381;NULL;NULL;NULL;NULL;2603;99;249;NULL;NULL;0;0
2015;4;15;NULL;2015-04;2015-15;NULL;NULL;NULL;NULL;5591;2102;NULL;NULL;113920;20;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;596;NULL;4348;105057;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1938;10662;NULL;242;463;1066;1680;323;523;NULL;114;322;NULL;446;920;NULL;NULL;1524;NULL;NULL;NULL;NULL;3438;91;248;NULL;NULL;0;0
2015;4;16;NULL;2015-04;2015-16;NULL;NULL;NULL;NULL;6610;2537;NULL;NULL;155164;23;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;663;NULL;5140;135249;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2406;14015;NULL;335;634;1324;2425;382;724;NULL;133;907;NULL;504;1008;NULL;NULL;1850;NULL;NULL;NULL;NULL;3918;107;1356;157;NULL;0;0
2015;4;17;NULL;2015-04;2015-17;NULL;NULL;NULL;NULL;6790;2524;NULL;NULL;158793;23;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;681;NULL;5209;134914;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2279;12757;NULL;354;644;1632;2446;362;687;NULL;118;302;NULL;493;1000;NULL;NULL;1848;NULL;NULL;NULL;NULL;3554;222;1144;63;NULL;0;0
2015;4;18;NULL;2015-04;2015-18;NULL;NULL;NULL;NULL;5981;2170;NULL;NULL;126317;21;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;630;NULL;4806;114546;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1986;11193;NULL;267;507;557;901;349;565;NULL;88;224;NULL;456;865;NULL;NULL;1655;NULL;NULL;NULL;NULL;3291;143;370;17;NULL;0;0
2015;5;19;NULL;2015-05;2015-19;NULL;NULL;NULL;NULL;6322;2226;NULL;NULL;156980;24;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;697;NULL;5047;141698;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2187;13538;NULL;280;575;765;1178;354;677;NULL;115;282;NULL;550;1180;NULL;NULL;1904;NULL;NULL;NULL;NULL;4118;162;627;33;NULL;0;0
2015;5;20;NULL;2015-05;2015-20;NULL;NULL;NULL;NULL;5350;1904;2054;117;104370;19;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;627;NULL;4330;102388;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1698;9142;NULL;212;360;181;273;274;425;NULL;83;220;NULL;373;824;NULL;NULL;1310;NULL;NULL;NULL;NULL;3176;107;283;22;NULL;0;0
